Name,Age,Club Level,Minutes Played,Goals Against,Shots on target Against,Saves,Save perc,Penalty saved,Clean Sheets,Games Missed,Transfer Value
Ter Stegen,33,1,2520,27,102,75,75.5,0,15,19,22.4
Inaki Pena,26,1,900,17,39,22,56.4,0,2,0,6.4
Szczesny,35,1,3150,30,108,79,74.1,1,15,1,4.8
Courtois,33,1,332,0,15,15,100,0,3,58,22.4
Lunin,24,1,1890,17,65,48,75.4,0,10,0,20
Jan Oblak,32,1,3420,43,144,101,70.8,0,13,0,22.5
Juan Musso,31,1,990,12,34,23,70.6,0,6,0,4
Unai Simon,27,2,3182,33,122,90,73.8,3,16,0,22.4
Julen Agirrezabala,24,2,238,4,12,8,66.7,0,4,0,4
Diego Conde,26,2,3519,26,98,78,79.6,0,18,0,1.6
Luiz Junior,24,2,2970,39,145,105,75.2,3,6,0,4.8
Fran Vieites,26,2,315,4,18,14,77.8,0,2,0,0.4
Ivan Villar,27,3,1014,18,44,26,63.6,1,0,0,1
Vincente Guaita,38,3,2403,39,120,83,70.8,0,6,0,0.6
Augusto Batalla,29,3,1530,28,86,58,67.4,0,3,0,4
Dani Cardenas,28,3,90,1,1,0,0,0,5,0,1.4
Sergio Herrera,31,3,2869,47,132,84,64.4,1,9,0,4.8
Aitor Fernandez,34,3,551,9,20,11,60,0,0,0,1.4
Dominik Greif,28,3,90,0,4,4,100,0,1,0,2
Leo Roman,24,3,3780,39,147,115,78.2,0,14,0,2
Ivan Cuellar,41,3,90,1,6,5,83.3,0,1,0,0.08
Moritz Nicolas,27,2,2430,49,160,111,71.9,0,4,0,2
Jonas Omlin,31,2,630,18,47,29,66,0,0,35,4.8
Kamil Grabara,26,2,2790,38,113,75,66.4,1,5,0,9.6
Marius Muller,31,2,1844,30,101,74,73.3,0,0,12,0.8
Finn Dahmen,27,3,2790,52,158,106,71.5,2,3,6,4
Nediljko Labrovic,25,3,3150,30,93,66,71,0,0,0,3.6
Frederik Ronnow,32,3,2970,56,162,105,68.5,2,7,1,3.6
Carl Klaus,31,3,1640,30,91,61,68.1,0,3,0,0.2
Nikola Vasilj,29,3,3060,36,109,77,69.7,1,8,0,1.2
Oliver Baumann,34,3,3060,66,211,143,69.7,3,2,0,2.4
Kevin Muller,34,3,3060,55,174,121,72.4,1,6,0,0.8
Timon Weiner,26,3,2700,33,125,97,76,2,12,0,1.2
Thomas Dahne,31,3,270,5,13,8,61.5,0,1,12,0.3
Timo Horn,32,3,270,4,7,3,57.1,0,0,4,0.7
Patrick Drewes,32,3,2880,46,157,114,72,1,7,0,0.5
Alex Meret,28,1,2773,40,104,62,63.5,2,5,9,1
Simone Scuffet,29,1,2789,55,129,76,59.7,0,3,0,1.8
Yann Sommer,36,1,3060,19,98,78,82.7,1,19,4,4
